#{"t_start": 1764544602.289315, "env_id": "None"}
r,l,t
6.0,15,0.818953
57.666626,128,1.815729
4.6666665,11,1.905742
9.0,22,2.081506
25.000008,54,2.529191
3.9999998,9,2.60684
8.000001,17,2.746914
0.6666667,3,2.771033
23.000008,52,3.175742
26.000006,61,3.701058
10.333334,24,3.963134
4.333333,8,4.045805
17.666664,44,4.440969
2.3333335,4,4.471469
30.000013,79,5.132387
3.6666663,12,5.22932
3.3333333,7,5.288574
4.333333,10,5.372019
32.33335,78,5.999339
7.333334,19,6.154011
7.0000005,18,6.297607
1.6666667,6,6.348627
22.666668,53,6.74395
4.333333,10,6.816416
5.3333335,17,6.940318
23.333336,55,7.393086
4.333333,8,7.462515
3.6666663,12,7.566127
5.0,12,7.664751
23.000002,56,8.107559
10.999999,26,8.313868
6.666667,17,8.462258
3.9999995,13,8.565757
5.0000005,12,8.663581
1.0,4,8.69989
13.666662,34,8.961295
23.66667,54,9.356145
9.666667,26,9.560605
13.333331,29,9.782969
2.0,5,9.823844
34.000015,85,10.534429
3.6666665,8,10.599767
4.333333,14,10.726977
2.9999998,10,10.804852
10.666666,23,10.992765
32.000015,79,11.617877
41.666656,92,12.333725
5.0,12,12.432365
4.9999995,12,12.523937
8.333334,18,12.669624
12.666663,35,12.943409
12.333331,30,13.178878
3.6666667,8,13.249736
28.666676,69,13.800585
2.3333333,8,13.866094
24.000006,59,14.28701
2.3333333,8,14.348325
12.999997,32,14.616907
19.666668,48,14.985214
3.9999995,13,15.089171
17.999996,43,15.391451
14.999996,36,15.70075
3.3333333,7,15.75613
26.666676,65,16.189173
9.666666,22,16.348742
6.3333335,16,16.469365
9.666667,24,16.645686
10.999999,20,16.796805
8.333334,18,16.934637
6.6666675,19,17.533576
1.0,4,17.564043
10.0,23,17.74282
5.0,14,17.85274
17.999996,43,18.161629
1.6666667,4,18.194872
23.333342,51,18.583856
3.9999998,9,18.64919
6.3333335,16,18.779216
6.333333,12,18.86544
41.33333,91,19.541033
6.6666665,13,19.645253
6.0,15,19.759115
2.0,7,19.812605
3.333333,11,19.897698
11.666665,32,20.139923
25.333344,65,20.599229
21.333336,53,20.977737
14.333329,34,21.274563
23.333334,53,21.678335
6.333334,18,21.810016
14.333327,36,22.072003
45.666637,108,22.877188
0.33333334,2,22.895403
6.0000005,15,23.007046
19.333332,45,23.318822
19.333332,39,23.605681
5.0,12,23.698664
14.333331,36,23.964779
29.000015,70,24.480927
6.333334,18,24.610512
4.333333,10,24.687519
20.000002,43,25.019238
2.9999998,8,25.087203
1.3333334,5,25.134606
4.0,7,25.193771
1.3333334,5,25.237583
2.3333333,8,25.303405
35.66667,86,25.965196
11.666666,28,26.200528
16.666662,43,26.536807
7.3333335,15,26.654638
28.333345,68,27.163758
21.333336,53,27.57094
11.333332,23,27.751401
11.666666,28,27.965682
1.6666667,6,28.020983
7.0000005,14,28.138243
14.666664,37,28.444753
24.333336,62,28.955484
24.666674,59,29.425307
1.0,4,29.45941
25.333336,63,29.962195
1.0,4,29.993266
10.0,23,30.160105
7.0000005,18,30.29392
11.333331,33,30.522899
27.000011,64,31.045723
7.3333344,19,31.186253
5.6666665,12,31.282585
1.6666667,6,31.330324
20.000002,47,31.680753
21.33334,55,32.094298
5.6666665,14,32.203752
10.0,27,32.419215
15.666664,32,32.666668
15.999997,37,32.958662
27.00001,66,33.92472
1.6666667,6,33.981499
6.0000005,13,34.077443
3.6666665,8,34.143077
5.9999995,13,34.256677
3.6666665,8,34.32865
43.333317,101,35.139842
5.6666665,14,35.26365
22.0,57,35.73252
33.000008,84,36.35141
10.999999,30,36.587484
8.666668,23,36.766727
6.6666675,15,36.884931
3.6666665,10,36.968145
5.0,14,37.082732
5.666666,12,37.179348
31.33335,73,37.701505
6.333333,14,37.812235
3.0,6,37.862098
6.0,17,37.993819
12.33333,32,38.243184
11.666666,28,38.471111
22.66667,55,38.928639
22.66667,65,39.411257
15.666663,40,39.742291
13.333333,29,39.981598
3.6666665,10,40.067667
0.33333334,2,40.086585
38.33333,88,45.506307
13.333332,33,45.778376
4.6666665,9,45.865936
24.666666,53,46.291256
31.333351,77,46.899307
27.666681,72,47.466237
0.6666667,3,47.491302
4.9999995,14,47.604093
24.666672,59,48.067814
19.666664,46,48.425578
15.666663,34,48.691675
48.66665,117,49.512981
1.6666667,4,49.546971
11.333333,23,49.747164
2.3333333,8,49.812728
9.666666,24,49.981089
16.333326,38,50.279592
1.3333334,3,50.307183
35.000008,86,51.007886
17.333328,43,51.340817
