#{"t_start": 1765075167.74503, "env_id": "highway-v0"}
r,l,t
6.682891,9,1.293325
19.669643,22,3.24645
3.798459,5,3.703552
18.21672,23,5.726038
20.523314,25,7.982354
14.169768,19,9.662783
6.40545,8,10.383024
4.943858,7,11.01881
25.259565,34,14.015439
10.024774,14,15.225801
16.747577,19,16.904239
13.657428,16,18.431237
18.977927,25,20.684539
9.223515,11,21.682807
24.69451,31,24.401804
11.856047,15,25.742395
3.336111,5,26.194149
25.921593,35,29.326134
20.972472,29,32.104111
9.629067,12,33.217831
57.672666,80,40.441594
10.144485,13,41.595459
5.372325,7,42.22599
12.001945,14,43.493901
4.672776,6,44.074361
22.961028,29,46.683653
34.100538,44,50.716809
61.392279,80,57.83672
14.880508,20,59.626126
32.822406,45,63.586228
21.411725,26,65.904588
16.51681,18,67.519405
4.933236,7,68.159774
11.430779,15,69.499472
13.739547,16,70.910822
5.227095,7,71.552966
27.263626,36,74.760875
24.752723,33,77.690509
6.231815,8,78.409656
59.363825,80,85.615338
34.847114,47,89.826374
13.269723,18,91.470073
6.546131,9,92.327159
32.76692,44,96.21354
44.13218,56,101.172342
3.416838,5,101.639739
11.735697,14,102.908239
10.414962,12,104.007105
8.324682,10,104.914298
41.016878,50,109.328294
9.217857,13,110.470788
8.589522,11,111.449904
15.857441,20,113.190359
16.489992,20,114.976076
10.81956,13,116.119771
19.718944,23,118.191176
10.326799,13,119.363037
59.46141,80,126.475264
34.894794,41,130.100765
9.350073,12,131.154453
13.577741,16,132.581712
6.225698,9,133.384624
18.004393,23,135.437421
27.037045,38,138.797883
2.830053,4,139.174614
12.626502,17,140.690472
5.5778,7,141.308933
23.646166,30,143.992736
5.439731,7,144.636528
28.75249,31,147.358669
14.565158,20,149.127162
12.505273,14,150.370505
16.755189,22,152.317951
16.472396,20,154.104227
61.602636,80,161.183559
5.036031,7,161.807026
9.019982,12,162.86402
9.423466,12,163.933015
59.835726,80,170.960212
15.92493,22,172.89072
11.326981,16,174.313115
8.397834,12,175.386177
11.487448,14,176.634075
15.73199,20,178.394815
16.846219,22,180.363456
6.441682,8,181.077518
6.473105,8,181.802564
21.591728,27,207.170215
41.399432,49,211.550402
31.315717,37,214.951994
18.136252,24,217.053283
3.029207,4,217.411882
3.730018,6,217.944974
63.519951,80,225.069103
8.993322,11,226.080592
19.346612,24,228.193584
23.552013,29,230.738089
30.712193,42,234.438388
18.408654,24,236.545186
12.07288,16,237.946431
11.161515,13,239.102715
43.634159,52,243.751628
13.805267,17,245.257378
6.812556,8,245.976518
21.3583,28,248.417251
8.653658,11,249.392752
22.437536,30,252.059803
6.969746,9,252.858845
10.897155,14,254.109163
21.287608,24,256.198627
20.3292,28,258.677446
60.241111,80,265.745298
26.390688,35,268.876709
6.481447,8,269.601753
2.801843,4,269.965005
6.578565,8,270.678751
15.744268,18,272.33577
3.534767,5,272.87863
15.650619,18,274.524836
11.543588,17,276.068345
4.552859,6,276.602646
16.185526,22,278.577119
17.352945,22,280.583895
20.013215,25,282.79815
60.140103,80,289.825932
18.469402,20,291.621077
27.97073,37,294.933845
12.729913,16,296.392569
7.176761,10,297.303375
9.479519,12,298.37638
26.596626,36,301.663889
4.966015,7,302.321145
15.109593,22,304.287171
13.948271,20,306.048152
27.164763,35,309.164271
13.916254,15,310.483373
4.747689,6,311.028597
12.56081,17,312.579169
9.836841,12,313.65548
13.743348,18,315.224963
33.361345,39,318.69858
66.095181,80,325.825111
9.464751,12,326.920405
3.454879,5,327.379421
8.174584,10,328.311424
21.368246,30,330.983525
16.73179,21,332.797997
18.125703,24,334.964229
11.315873,14,336.22841
13.721466,19,337.877513
10.719633,13,339.019932
33.211648,44,342.924536
14.149593,19,344.589155
18.885326,24,346.780876
9.85158,12,347.823044
19.326089,25,350.017131
17.131819,21,351.882484
31.372184,41,355.436393
28.315328,39,358.862243
5.566645,7,359.511133
25.988149,36,362.764193
13.116729,15,364.130297
37.169447,49,368.485175
18.851024,26,370.797021
14.128282,19,372.535087
7.70868,9,373.354408
25.669017,36,376.606808
7.391849,9,377.42288
21.046097,26,379.776386
15.2683,18,381.368015
16.185976,19,383.076207
4.557371,6,383.620073
17.378539,22,385.630073
9.623064,14,386.899942
25.149055,31,412.94023
10.67087,13,414.089276
3.052275,4,414.444346
3.621298,5,414.898128
12.243045,17,416.485128
10.227395,12,417.546584
48.792678,65,423.377671
5.371353,7,424.018393
32.376524,44,427.93201
23.044864,30,430.632789
9.939813,12,431.728184
25.494136,34,434.75449
6.958607,10,435.674354
16.506997,19,437.371611
30.623741,41,441.007339
13.017843,18,442.64374
17.81185,25,444.901106
45.421938,60,450.269631
29.815682,40,453.838463
20.524209,28,456.328895
3.762039,6,456.872104
40.340077,53,461.56303
31.677326,37,464.879816
13.279963,19,466.538766
17.349961,23,468.565085
7.355643,11,469.541286
5.104761,7,470.178851
9.426087,12,471.243656
60.269107,73,477.623114
4.804969,6,478.155209
17.150445,23,480.197142
34.120213,43,483.975914
48.350706,66,489.827777
43.08177,59,495.037486
6.555591,8,495.766019
13.74941,16,497.238122
50.581204,69,503.428558
43.046009,55,508.248341
11.305643,14,509.48166
9.131555,11,510.447319
16.396201,21,512.293429
