#{"t_start": 1765075165.574441, "env_id": "highway-v0"}
r,l,t
20.807924,29,2.994943
2.596161,4,3.360772
3.948296,5,3.812606
12.027509,14,5.074519
9.081066,11,6.064792
4.430053,6,6.597456
41.006477,55,11.591512
7.407189,9,12.40921
20.978271,25,14.668473
20.721322,28,17.135272
4.440026,6,17.672602
6.962267,9,18.472082
12.295894,14,19.886764
27.845334,37,23.414484
17.862161,21,25.305215
12.546876,14,26.587228
11.891014,14,27.853326
8.698924,11,28.824676
5.572706,7,29.483436
12.849244,17,31.106753
22.007171,30,34.396033
27.035048,36,37.830839
5.319834,7,38.469009
29.157453,37,41.84998
6.099365,8,42.552648
19.893354,26,44.852983
8.401323,11,45.826014
36.601709,49,50.616022
25.015382,32,53.807836
40.222082,54,58.725108
23.163426,29,61.341026
28.608229,37,64.721687
8.134899,11,65.710785
13.631405,19,67.365568
16.136438,22,69.348992
5.25454,7,70.02508
2.927957,4,70.387913
6.49144,9,71.216941
4.248319,6,71.766994
7.813891,11,72.757715
4.910349,6,73.292917
17.35069,22,75.257549
24.973974,31,78.039091
14.420008,18,79.629341
10.201717,13,80.82143
25.734828,31,83.620321
24.223036,31,86.405164
15.444713,20,88.201951
27.249251,30,90.891947
3.501169,5,91.358654
9.210732,12,92.432396
40.022661,51,97.301196
39.276254,44,101.313665
16.950616,21,103.210758
30.799033,36,106.485196
16.224807,22,108.453041
31.799392,41,112.103403
15.163329,18,113.723236
3.680012,5,114.167388
27.690653,36,117.374347
11.450229,14,118.620814
30.804396,40,122.205052
12.387284,15,123.552204
16.752135,20,125.343981
12.01011,15,126.69263
3.69581,5,127.137265
44.109437,55,132.006218
9.228857,13,133.174574
6.35383,8,133.896152
47.203827,64,139.585557
16.384631,23,141.634765
19.175536,25,143.863917
11.600307,16,145.332336
19.684886,25,147.557973
9.906797,11,148.538821
32.424799,44,152.414205
7.608972,10,153.333087
22.128386,30,156.000099
11.944254,14,157.253369
13.815433,20,159.052313
8.947179,12,160.129997
11.786308,16,161.564305
32.989554,45,165.569725
18.935177,23,167.660236
3.78536,5,168.12567
15.233114,17,169.650421
26.706438,32,172.522713
15.8433,22,174.473746
35.867557,39,178.024831
7.112632,8,178.755129
13.716551,16,180.165804
34.406132,46,184.273808
4.154087,6,184.83902
27.538855,34,189.04679
17.535792,22,191.477625
3.933473,5,192.027194
59.907254,80,200.732726
15.688533,18,202.735183
23.30614,28,205.758879
52.882037,66,212.192173
57.775634,80,219.351673
8.612321,13,220.516723
40.95464,53,225.281032
18.922503,22,227.259597
13.010166,17,228.780505
16.146641,22,230.740472
19.759836,25,232.981943
26.635244,34,236.020352
38.766922,51,240.523998
13.890174,19,242.235836
31.676018,41,245.936929
37.168847,51,250.486144
16.300838,22,252.440354
15.993406,22,254.411645
23.385051,28,256.924653
61.970363,80,264.113483
10.128395,13,265.314285
32.178293,40,269.019044
21.059208,27,271.455032
50.642914,63,277.803121
36.125003,49,282.22834
65.880122,80,289.401368
13.825986,18,291.028195
34.648723,48,295.407417
16.176037,22,297.372442
7.247126,9,298.171126
16.561999,21,300.078914
60.21709,80,307.567109
6.253598,8,308.286975
19.087812,26,310.647895
17.560517,21,312.521705
10.569782,14,313.77639
11.626851,14,315.049501
7.875588,11,316.055972
22.486824,30,318.751863
7.676468,11,319.795515
10.441393,14,321.084931
42.772769,52,325.727853
25.671335,32,328.646292
37.961229,52,333.287441
60.77102,80,340.564831
49.940412,57,345.680399
28.668516,36,348.974274
13.524346,19,350.651488
34.484599,44,354.654592
11.784086,14,355.902209
9.038962,11,356.881893
37.673559,46,360.965881
13.141778,19,362.685725
5.468157,7,363.344075
27.684397,36,366.652713
38.757029,48,371.023873
28.167201,38,374.4893
43.420027,57,380.167394
6.768076,10,381.0909
7.196557,10,381.996713
31.614074,40,385.596843
3.548098,5,386.050069
28.402557,38,389.502477
16.126838,24,391.734832
16.566332,20,394.030714
8.216769,11,395.307323
17.339449,22,397.728536
6.160363,8,398.611979
19.970768,25,401.436791
39.103417,54,407.316847
17.286487,21,409.65087
33.253023,44,414.480835
5.762967,7,415.115943
47.752681,59,420.493386
21.2592,28,423.013227
21.431057,27,425.393179
13.955048,18,427.02956
17.64416,22,428.978307
7.31049,9,429.805779
32.343454,44,433.761468
29.742081,34,436.904008
56.239038,73,443.499451
25.449421,36,446.691323
55.896433,74,453.266527
58.953329,73,459.896707
31.603263,43,463.710402
19.33389,24,465.908062
55.609642,78,472.897921
57.298399,73,479.369754
32.171631,40,482.951098
15.208284,21,484.790208
51.007439,66,490.672756
9.982875,11,491.675014
55.741348,70,497.979227
29.334103,37,501.313002
52.9228,70,507.54331
7.173939,10,508.439858
24.931925,35,511.589912
36.435221,48,515.88838
62.257529,78,522.837849
54.553902,74,529.341067
31.666425,42,533.08894
38.640308,51,537.645601
16.427548,21,539.529776
6.718717,9,540.334343
25.203334,33,543.250328
13.151618,18,544.834877
62.087159,80,551.96487
4.574184,6,552.49876
38.437072,49,556.849102
48.190403,66,562.739728
57.736345,80,570.29453
20.924815,30,572.977772
38.309524,51,577.510218
58.91261,80,584.617193
57.051154,80,591.729259
38.221936,50,596.105353
56.913348,74,604.098061
59.648381,80,612.927156
60.132928,80,621.29902
31.306099,40,624.873793
15.276678,22,626.845617
19.229306,26,629.160121
61.598952,80,636.174807
42.926504,53,640.863763
29.152578,42,644.608752
57.061256,78,651.513348
58.980181,80,658.570658
24.926839,34,661.591419
38.541361,54,666.379413
20.787111,28,668.818226
62.597909,80,675.845186
57.787025,80,683.070913
61.183921,80,690.168773
8.809753,13,691.336954
57.468738,80,698.483763
31.405084,42,702.195861
56.122031,80,709.259329
18.31205,25,711.496035
57.969057,80,718.510479
64.577313,80,725.603053
38.328434,51,730.208705
17.35293,25,732.498777
55.589566,75,739.16002
38.282145,50,743.600688
16.755674,22,745.546348
43.998647,56,750.457305
7.202441,9,751.245148
55.17505,80,758.762814
27.666604,39,762.194135
58.206541,80,769.227761
56.915421,80,776.346884
57.370386,74,782.956614
56.976261,80,790.1059
36.71024,51,794.628067
60.438545,80,802.124023
42.135783,60,808.472894
51.535412,70,815.954126
56.413053,80,823.995115
55.511739,80,831.075849
58.604033,80,838.210072
58.851875,80,845.28529
57.872768,80,852.354046
60.45539,80,859.295845
63.559724,80,866.402165
4.232399,6,866.956781
57.371959,80,873.969053
58.665683,80,881.059396
55.717562,80,888.010612
55.822051,80,895.241343
54.955415,80,902.352943
60.264034,80,909.356087
57.708709,80,916.406619
12.358102,18,918.01491
57.410957,80,925.036291
25.371559,37,928.2695
56.676661,80,935.285891
38.581835,55,940.598063
62.96188,80,947.735083
57.363073,80,954.748051
58.312665,80,961.792054
44.157448,58,966.921679
15.36332,17,968.419201
55.440832,80,975.509567
60.942336,80,982.603441
44.33123,60,987.979923
10.123448,12,989.047822
59.074911,80,996.121026
23.294159,31,998.875975
60.00141,80,1006.759571
16.527417,22,1009.120164
58.845976,80,1017.872926
49.839826,66,1024.919186
57.669761,80,1031.991216
59.997384,80,1039.02269
14.20329,17,1040.516484
7.492671,9,1041.327364
28.384365,42,1045.074514
5.045177,7,1045.721579
42.524996,53,1050.456845
63.318816,80,1057.525516
56.83363,77,1064.346367
56.351979,80,1071.544857
6.701959,10,1072.439971
56.632876,77,1079.308963
59.608271,80,1086.450927
3.657935,5,1086.913294
59.114822,80,1094.026497
21.983862,29,1096.63962
61.498634,80,1103.748087
56.786502,80,1110.770382
23.02922,29,1113.329176
59.440509,80,1120.400586
53.842762,73,1127.337939
62.570261,80,1134.417998
60.093319,80,1141.567216
59.91141,80,1148.772346
56.311892,80,1155.850441
8.837147,13,1157.057896
57.020153,80,1163.994223
24.758363,35,1167.091376
54.597655,80,1174.142812
56.440449,80,1181.217467
62.911103,80,1188.344089
30.080261,42,1192.077839
60.861716,80,1199.238943
60.245415,80,1206.730277
56.937759,80,1215.343975
