#{"t_start": 1765095606.625736, "env_id": "intersection-v0"}
r,l,t
-1.318719,6,0.831873
-2.0,6,0.972014
-2.444964,7,1.246315
0.0,13,1.536749
7.562943,10,1.882305
7.185069,11,2.304067
-4.304191,8,2.631252
1.473236,13,3.146375
7.0,12,3.481336
-1.740161,6,3.711207
-1.0,5,3.848548
-3.753671,8,4.183497
6.550375,11,4.578202
-1.57953,4,4.723264
2.0,13,5.143172
-1.318719,6,5.291464
-2.0,5,5.449409
4.0,13,5.919796
-4.0,11,6.290755
-2.436558,5,6.465953
0.559105,13,6.866753
-2.444964,8,7.089898
7.525446,12,7.386637
-3.678979,6,7.527473
3.309281,13,7.899658
-3.356173,10,8.281276
5.562945,13,8.717559
-2.458619,8,8.959707
5.562942,13,9.420756
1.0,13,9.944191
-2.699147,7,10.094108
0.604283,13,10.477617
-1.0,5,10.726302
-1.318719,6,10.854039
0.604281,13,11.303354
-2.0,6,11.485216
8.0,10,11.893615
-1.0,5,12.113688
-1.366575,6,12.266453
-2.537503,12,12.852741
6.462083,12,13.226686
1.0,13,13.556425
5.222608,12,13.994167
0.0,13,14.394499
8.538961,12,14.676864
0.0,6,14.839615
-1.898146,10,15.199631
-1.57953,4,15.341883
0.0,6,15.503113
-3.316297,7,15.657451
0.0,13,16.11807
0.550067,13,16.669686
-3.316297,5,16.820738
-2.0,5,16.940884
3.0,13,17.208723
2.0,13,32.110862
3.46169,13,32.537662
1.549803,13,32.947225
-2.365057,5,33.111343
-2.644326,6,33.338355
7.626732,9,33.669542
1.174346,13,34.09201
9.0,9,34.39399
2.46004,13,34.746109
3.525555,13,35.075788
-1.318719,6,35.188289
-1.700382,7,35.333421
3.536727,13,35.787685
-2.447873,7,35.977492
0.0,6,36.204367
0.0,6,36.412132
-1.366575,5,36.550689
2.476003,13,36.923999
4.152419,13,37.238287
-1.646455,7,37.411269
-1.94673,5,37.643329
-2.0,4,37.80989
1.0,13,38.319884
7.0,13,38.722739
-2.436558,6,38.895388
0.0,8,39.199144
0.629225,13,39.572693
2.0,13,39.949588
2.634943,13,40.571282
5.025863,13,41.039092
-2.0,4,41.158609
4.123189,13,41.504565
9.0,9,41.787583
-2.0,9,42.157097
0.420014,6,42.350239
