#{"t_start": 1765095430.307053, "env_id": "intersection-v0"}
r,l,t
-4.440612,9,0.816929
4.0,13,1.157633
-1.0,5,1.348686
7.091384,12,1.640064
-3.434136,6,1.846494
-1.0,9,2.244141
0.0,13,2.541998
-1.379585,6,2.680101
1.551716,13,3.213352
-2.539811,9,3.492299
4.107817,13,3.980579
3.620415,13,4.322189
5.759139,13,4.714588
-2.796686,10,4.914463
-2.0,11,5.275289
-3.808149,8,5.482989
2.536714,13,5.924586
5.470899,13,6.450087
5.0,13,6.634169
3.217471,13,6.998448
-3.449736,7,7.135714
6.176855,11,7.421713
3.809595,13,7.773189
-1.0,6,7.959028
-2.365057,7,8.221161
2.0,13,8.608532
2.0,13,8.969896
5.630657,13,9.254636
3.0,13,9.58529
6.0,13,9.937824
-2.370348,6,10.090323
3.534417,13,10.56967
2.525147,13,10.899353
0.0,13,11.345488
3.234434,13,11.680422
2.0,13,12.119792
-1.379585,6,12.294286
-0.963021,6,12.544605
1.549805,13,13.004877
3.45748,13,13.326787
-2.743026,7,13.47409
-2.0,10,13.781035
5.523524,13,14.084796
7.179506,11,14.448435
5.460177,13,14.645825
0.0,13,15.173838
-2.0,4,15.32565
1.0,13,19.158136
7.62673,10,19.23512
-2.365057,6,19.44611
7.633114,9,19.702239
2.355674,13,20.185384
-1.379585,6,20.340753
-1.0,6,20.483771
7.314328,12,20.879498
1.537021,13,21.170625
-1.447446,7,21.445617
-3.38103,7,21.593076
5.617932,11,21.971858
-3.0,7,22.185036
0.0,6,22.35514
9.0,10,22.541817
0.0,13,22.873936
1.0,7,23.237277
-2.318366,5,23.383109
1.604282,13,23.780778
10.0,10,23.963007
-0.666847,6,24.142416
-1.0,5,24.329302
2.0,13,24.766229
8.552042,11,24.999071
3.0,13,25.475469
4.215557,13,25.839337
1.472872,13,26.065494
3.620415,13,26.46381
0.0,6,26.613377
1.0,13,27.042068
-2.382567,7,27.23892
7.616072,9,27.433407
-1.372771,6,27.620443
5.0,13,27.92799
-3.356173,9,28.297887
6.844749,13,28.536209
0.549797,13,28.94681
-1.0,10,29.159506
4.15887,13,29.628424
7.259851,11,29.914894
-2.318366,5,30.006101
-2.0,4,30.131354
2.0,13,30.570183
6.559442,13,30.821007
-1.52669,10,31.134832
7.61852,9,31.324004
-2.449806,8,31.470576
-0.57992,5,31.628774
-1.57953,4,31.74639
-2.105729,7,31.996951
8.470959,13,32.284348
3.488269,13,32.700643
-3.452065,10,33.008578
-0.958767,6,33.12329
4.470888,13,36.754765
-1.0,5,36.926799
9.0,9,37.109095
8.62673,10,37.356147
7.2423,11,37.665672
-1.0,5,37.771152
-2.743026,6,37.955201
-1.0,5,38.054644
0.0,6,38.223835
-2.0,6,38.43164
2.617433,13,38.824651
-1.0,7,38.994701
6.232471,12,39.433341
-2.0,4,39.536207
1.0,13,39.890805
-3.0,9,40.218981
-2.444964,8,40.484224
8.245287,11,40.755593
-1.366575,6,40.85807
3.57534,13,41.242048
3.620415,13,41.58741
-1.0,5,41.680122
-2.0,4,41.770289
-0.225241,7,41.961248
8.235919,11,42.18073
7.0,12,42.47209
4.835959,13,43.07362
-2.436558,6,43.177679
-1.379585,6,43.319513
9.0,9,43.595486
-3.678979,6,43.924512
-1.0,5,44.12907
0.0,7,44.317515
-3.725668,9,44.629616
6.259894,10,44.892325
0.0,6,44.993269
9.0,9,45.236765
-4.0,9,45.543248
-2.393752,9,45.750582
4.552042,13,46.354413
-5.0,1,46.422116
-4.438908,8,46.575766
-2.365057,4,46.707369
-1.0,6,46.830575
-1.366575,6,47.032414
-1.447446,7,47.248037
-3.316297,4,47.351955
0.0,7,47.53452
-3.316297,9,47.849074
0.0,6,47.990088
4.633166,13,48.384641
3.0,13,48.70795
-2.222375,5,48.927746
0.0,6,49.105339
7.03807,13,49.698243
-2.0,7,49.894748
8.618513,10,50.114941
-2.0,5,50.265542
-1.379585,6,50.434846
8.0,9,50.771537
4.167816,13,51.15644
6.176855,12,51.410852
4.547551,13,55.087786
5.538963,10,55.341978
0.0,5,55.428653
-1.372771,5,55.57436
-2.0,6,55.7826
9.0,9,55.964246
-1.366575,6,56.077602
-1.373258,7,56.260224
8.0,8,56.503512
-2.0,5,56.624345
-1.0,5,56.76056
-2.0,5,56.931334
-2.444964,6,57.062304
-2.370348,5,57.190974
1.0,7,57.385271
-2.815394,6,57.620164
10.0,10,57.842899
0.0,6,58.007048
-2.449821,9,58.270431
6.038446,12,58.494896
-1.0,6,58.702444
1.486477,13,59.253351
-2.365057,6,59.471189
8.243019,11,59.899441
-1.0,5,60.067947
9.0,9,60.245796
-2.701696,6,60.393433
6.457162,13,60.618165
9.0,9,60.893952
-2.373197,7,61.089637
9.0,9,61.395276
5.457546,13,61.82149
0.0,6,61.970247
-1.0,5,62.146886
8.0,13,62.377513
-2.373197,6,62.500189
1.0,7,62.700654
-3.0,8,62.805257
8.549894,11,63.071224
0.0,6,63.198164
8.0,8,63.410798
-2.0,5,63.622987
8.0,8,63.904124
-2.370348,5,64.07526
7.25046,10,64.345684
-1.366575,6,64.562097
7.552044,10,64.845793
4.473452,13,65.271256
-3.527137,11,65.710581
9.0,10,66.036937
9.0,9,66.304986
-1.96286,6,66.426946
-3.372844,7,66.6293
-1.0,5,66.789276
0.0,6,66.961044
-3.382507,6,67.103805
-1.058516,8,67.312838
0.0,13,67.738423
-1.666651,5,67.850864
3.153086,13,68.26155
8.633113,10,68.522363
5.473452,13,68.923655
5.68122,13,69.260228
6.538961,11,72.919183
-0.299923,5,73.078983
7.475492,11,73.547789
9.0,9,73.825274
9.0,9,74.274072
8.615844,10,74.57404
-1.0,5,74.794047
-0.931455,6,74.965257
10.0,10,75.293061
9.0,9,75.562723
-3.0,5,75.747334
5.211155,12,76.099342
7.539083,11,76.297724
7.475173,13,76.732621
0.0,5,76.902987
-2.436558,6,76.999634
0.617508,9,77.241454
-1.0,5,77.369207
-1.0,5,77.50347
9.0,9,77.774993
-1.0,5,77.933376
1.0,13,78.37588
9.0,9,78.612155
9.0,9,78.856095
-1.0,5,78.973097
8.235919,11,79.227005
7.538666,11,79.575943
-0.31878,6,79.73826
5.536266,13,80.239513
9.0,9,80.44444
-1.379585,6,80.603701
-0.682533,6,80.764271
7.538649,11,80.982197
-2.023509,6,81.16288
-1.0,5,81.347677
8.0,10,81.553399
-1.379585,6,81.675446
7.46241,12,82.06876
0.0,6,82.254158
0.0,6,82.414185
-1.447446,6,82.619975
-1.0,5,82.731876
10.0,10,82.92997
-4.395669,9,83.192916
10.0,10,83.607283
8.617423,10,83.85515
-2.436558,6,84.130261
8.0,8,84.364096
0.0,6,84.530916
8.0,9,84.739894
1.700002,7,84.969515
10.0,10,85.28934
0.0,6,85.455276
7.561352,12,85.703261
6.242292,13,86.020764
8.0,8,86.269232
8.615844,10,86.596866
-1.372771,6,86.78256
9.0,9,86.928364
-1.0,4,87.096754
8.472951,12,87.420666
-1.065639,9,87.681724
8.549876,11,91.316681
-5.0,1,91.371233
10.0,10,91.543767
9.0,10,91.86558
-1.0,5,92.05208
9.0,9,92.373554
7.306361,12,92.807688
2.0,8,93.04744
-1.318719,6,93.113803
-0.299923,5,93.237589
9.0,9,93.450741
-1.0,5,93.682481
1.700002,7,93.91299
10.0,10,94.289016
