#{"t_start": 1765078915.1374779, "env_id": "merge-v0"}
r,l,t
10.571197,13,0.707691
11.201632,12,0.767531
16.825936,20,0.871746
14.786256,17,0.958479
12.905854,15,1.032008
16.404707,19,1.127056
13.522937,15,1.203044
13.818223,15,1.279405
15.60497,17,1.366159
23.223981,30,1.51844
15.151481,19,1.620371
16.721298,20,1.725234
21.693868,25,1.855883
26.450043,30,2.021044
25.399525,34,2.196619
19.531412,25,2.329011
15.222776,18,2.423625
10.15,11,2.480834
20.209777,28,2.624336
26.084998,31,2.819935
8.387822,9,2.866959
15.271444,19,2.967644
16.164711,20,3.069641
10.82286,12,3.128286
13.149369,15,3.20571
14.443909,16,3.285965
11.510331,14,3.360682
14.552463,16,3.468843
15.06583,18,3.560118
15.680886,19,3.66042
20.555796,26,3.793496
18.042188,22,3.900636
23.771228,28,4.042636
19.1105,23,4.161891
8.210292,9,4.206784
25.81889,31,4.494345
21.018584,24,4.630918
16.419359,19,4.725718
16.649979,20,4.826001
16.536858,18,4.921392
15.722966,18,5.016996
8.062705,9,5.063465
18.725231,23,5.184599
9.874955,11,5.239398
11.710069,13,5.307009
11.884115,13,5.371448
13.988361,16,5.450443
10.996666,12,5.510908
23.864822,33,5.674508
12.821953,15,5.753126
24.536902,32,5.922514
17.959542,20,6.026654
8.212705,9,6.071071
14.928836,18,6.159802
8.105344,9,6.204543
23.049923,30,6.362371
9.131656,10,6.412461
14.465132,16,6.493193
10.923284,12,6.55451
25.590436,32,6.715033
21.175063,26,6.850374
17.930276,22,6.959884
12.921649,16,7.043752
11.125003,12,7.103894
17.621729,22,7.216008
10.021501,11,7.269801
19.803686,24,7.392639
12.451357,14,7.462665
16.343922,20,7.565987
17.39991,21,7.676182
15.276707,18,7.769096
15.845016,22,7.881588
17.96091,21,7.992977
9.628859,11,8.047991
11.417421,14,8.120596
18.918124,23,8.242451
8.989689,10,8.293849
18.622334,22,8.409837
8.23787,9,8.453897
11.809177,13,8.517547
8.372667,9,8.561048
22.314754,26,8.698096
11.111085,12,8.757324
13.132049,15,8.834171
27.229153,33,9.012663
13.839651,16,9.096003
22.367929,32,9.259525
23.26638,33,9.427638
10.810011,12,9.48684
16.168556,18,9.579009
11.146695,12,9.640366
9.811085,11,9.694906
9.755205,11,9.752278
23.940782,26,9.889916
16.744215,20,9.992285
25.506877,30,10.14994
12.919475,16,10.231207
8.156988,9,10.27514
12.315799,14,10.344955
7.46,8,10.403879
11.214525,13,10.469686
23.129409,27,10.609202
11.668098,13,10.671347
22.034657,31,10.833069
17.771335,22,10.94759
22.058063,29,11.097222
19.434778,25,11.226279
16.168229,18,11.318878
11.503158,13,11.38206
12.450872,14,37.661336
8.696741,10,37.718192
22.745077,30,37.884151
21.82425,30,38.038
11.182713,12,38.098472
23.165291,29,38.253939
20.553384,27,38.406474
18.432213,21,38.518235
24.430747,32,38.726704
9.224964,10,38.779153
16.346166,19,38.875568
9.182713,10,38.927396
12.432021,14,39.024459
10.957469,12,39.085733
11.849027,13,39.151279
15.428744,18,39.242711
19.110991,25,39.371646
17.471109,21,39.482091
11.787763,13,39.547815
13.361266,15,39.628075
15.967258,20,39.741144
16.466451,20,39.849275
15.352303,18,39.946818
10.800575,12,40.00838
19.423667,23,40.134631
11.639462,13,40.200287
23.39762,34,40.37331
12.212581,14,40.445197
15.526676,17,40.536193
22.902489,29,40.682123
9.321132,11,40.739441
26.369085,31,40.902006
12.321998,14,40.972192
14.399028,16,41.052781
18.822592,23,41.168172
10.084594,12,41.227292
19.943931,24,41.352036
16.298298,21,41.458224
18.472305,24,41.58748
11.695381,13,41.652945
12.062432,13,41.717731
19.961394,27,41.869006
8.454914,10,41.921375
24.469087,32,42.091031
26.419085,31,42.252688
17.32172,21,42.35669
24.02052,32,42.522306
8.142074,9,42.569431
17.065431,22,42.682041
22.972314,31,42.83968
25.46761,30,42.995326
26.602385,34,43.164185
19.933208,24,43.289584
8.060083,9,43.33334
13.792309,17,43.422585
24.196458,30,43.577881
8.318437,10,43.627303
8.124043,9,43.672366
11.910469,14,43.742257
7.21,8,43.781878
18.765236,24,43.907608
23.51382,33,44.104144
18.699737,24,44.225173
18.640429,21,44.331689
19.382275,24,44.451945
9.310128,10,44.500863
16.584498,19,44.598768
23.849253,34,44.79775
14.556162,17,44.884194
8.074947,9,44.929364
20.097123,25,45.058122
14.345679,16,45.140038
20.211266,25,45.267138
26.672828,32,45.433731
14.591149,18,45.523713
