#{"t_start": 1765078893.5571158, "env_id": "merge-v0"}
r,l,t
12.842557,15,0.663989
7.863782,9,0.717835
19.633328,28,0.868982
17.715793,21,0.978252
20.048784,24,1.100609
8.183896,9,1.150307
8.300597,9,1.200279
12.822605,16,1.280726
20.387926,23,1.398872
17.490567,22,1.512894
13.568963,15,1.587213
12.250931,14,1.658757
13.316408,15,1.729035
7.5,8,1.774577
12.835589,14,1.843501
11.474594,14,1.919437
22.72791,26,2.047946
8.960574,10,2.100839
7.965104,9,2.148702
18.147327,23,2.26459
17.845906,23,2.389473
17.723737,21,2.503489
16.161064,20,2.611651
26.427908,30,2.771744
11.978214,13,2.843041
26.563754,33,3.0497
8.261827,9,3.101298
9.97999,11,3.155498
7.46,8,3.207179
13.690761,15,3.287459
8.004882,9,3.331657
10.055301,11,3.382366
16.066244,19,3.47972
8.260419,9,3.527735
10.20162,12,3.589336
20.303788,24,3.705447
13.573214,15,3.778171
23.642033,28,3.917922
22.285009,31,4.087576
8.06,9,4.13352
26.189613,30,4.308281
8.860137,10,4.362183
9.612556,11,4.423872
12.139374,15,4.506509
8.146618,9,4.551241
11.269013,14,4.634881
17.672061,22,4.74778
9.705688,11,4.804619
14.620046,17,4.899807
9.822505,11,4.951576
15.986993,22,5.076005
15.862237,18,5.170709
14.201721,16,5.254066
18.671656,23,5.381452
26.305692,31,5.542477
13.477607,17,5.637223
14.039704,16,5.721647
10.43035,12,5.791782
13.459565,15,5.8678
10.169225,11,5.921918
16.071045,19,6.015695
21.01737,27,6.150224
13.794225,16,6.243118
13.237617,15,6.318261
19.070557,22,6.43771
9.498109,11,6.497853
9.2,10,6.547654
23.96085,34,6.739978
8.000597,9,6.782002
14.32294,16,6.870302
23.763585,29,7.022386
15.909573,18,7.11677
16.442675,18,7.205025
14.181999,17,7.294063
15.566841,18,7.430172
8.46,9,7.481679
10.46,11,7.539562
27.017531,34,7.762945
15.082694,18,7.861071
12.053866,14,7.93685
12.172586,13,8.006538
12.584507,14,8.08061
22.259734,28,8.24498
24.510136,31,8.405438
12.462002,14,8.487715
8.35,9,8.534022
12.381283,16,8.619389
26.969087,35,8.811407
23.610871,35,9.000276
16.477543,19,9.098355
8.174947,9,9.151761
24.761918,29,9.30275
11.193846,12,9.365086
15.304119,17,9.468049
13.628204,16,9.583181
11.42307,13,9.654565
25.716051,30,9.840166
26.967073,33,10.037301
12.075345,13,10.103739
7.952468,9,10.148075
